process_id,rows,phase,temp_avg,temp_max,pressure_avg,pressure_max,flow_avg,flow_max,volume_delta
4,168,Brewing,86.26904761904761,90.7,4.9246428571428575,14.88,30.595714285714287,1316.88,140.19000000000005
5,158,Brewing,87.24810126582278,90.5,5.694493670886075,13.67,29.57468354430379,934.56,110.44999999999993
6,136,Brewing,85.81838235294117,93.7,4.250588235294117,12.96,81.99264705882354,5862.24,242.83999999999992
8,113,Brewing,85.78584070796461,89.4,4.416283185840708,13.21,79.88495575221239,4842.72,173.81
10,159,Brewing,85.937106918239,90.4,5.596981132075472,14.06,27.652075471698115,552.24,120.01000000000005
11,160,Brewing,85.93625,90.4,5.591374999999999,14.25,44.07299999999999,3186.0,161.78000000000003
12,157,Brewing,86.44904458598727,90.6,5.263503184713375,13.98,22.457579617834394,509.76,102.31
13,151,Brewing,86.19006622516557,90.7,4.756225165562913,13.67,27.147814569536422,764.64,116.82
14,146,Brewing,85.72328767123288,90.5,4.47945205479452,14.1,50.4813698630137,2208.96,156.11
15,148,Brewing,87.1912162162162,90.4,4.351824324324324,13.77,19.804864864864864,446.04,80.70999999999998
16,118,Brewing,86.0364406779661,89.6,4.36135593220339,13.77,27.9,849.6,93.09999999999997
17,137,Brewing,87.86350364963504,97.4,4.726277372262774,13.62,20.61985401459854,531.0,118.94000000000005
18,280,Brewing,103.94071428571428,121.6,3.393357142857143,7.92,45.13499999999999,5501.16,210.63
19,136,Brewing,84.02941176470588,90.3,6.593455882352941,13.98,53.5685294117647,1040.76,163.89999999999998
20,154,Brewing,87.35000000000001,90.7,4.567922077922078,13.79,27.584415584415584,1359.36,115.75999999999999
21,137,Brewing,86.28905109489051,89.6,6.810948905109489,14.9,40.46452554744525,1338.12,129.91
23,196,Brewing,85.33571428571429,90.5,6.698571428571429,14.99,54.942244897959185,743.4,179.4799999999999
24,131,Brewing,85.92366412213741,90.2,3.9577099236641224,13.71,66.4763358778626,1805.4,189.04
25,164,Brewing,87.89634146341463,90.7,4.811768292682927,13.62,25.25487804878049,1189.44,106.9
26,136,Brewing,86.35441176470589,90.2,5.296176470588236,13.71,25.61294117647059,573.48,90.27
27,153,Brewing,86.79150326797385,90.7,4.825424836601307,13.79,29.70823529411765,722.16,124.61000000000001
28,162,Brewing,87.93456790123457,96.8,5.802592592592593,13.86,22.682222222222222,977.04,136.28999999999996
30,148,Brewing,87.77432432432431,90.5,4.156148648648648,13.38,20.80945945945946,1104.48,107.62
32,121,Brewing,87.67768595041322,90.6,3.967272727272727,13.14,23.52198347107438,509.76,77.52999999999997
33,147,Brewing,88.40884353741497,90.5,3.178027210884354,12.73,29.764897959183678,722.16,96.99000000000001
34,156,Brewing,87.88333333333333,90.9,4.035833333333333,13.35,16.066153846153846,849.6,90.62999999999988
35,176,Brewing,87.34204545454546,95.2,4.822102272727273,12.73,28.360227272727272,1295.64,163.2
37,132,Brewing,85.81515151515153,90.0,4.3966666666666665,14.54,36.04363636363637,828.36,118.24000000000001
38,171,Brewing,86.60409356725145,90.8,5.474795321637427,14.9,41.36210526315789,2548.8,155.05999999999995
39,155,Brewing,86.69032258064516,90.4,6.0204516129032255,14.51,18.49935483870968,446.04,97.70000000000005
40,135,Brewing,86.52444444444444,90.2,5.197185185185186,13.69,29.735999999999997,934.56,115.4
41,151,Brewing,87.1814569536424,90.7,3.7800000000000007,13.31,20.255364238410596,446.04,96.63999999999999
42,123,Brewing,84.92357723577234,89.4,4.686097560975609,13.96,46.2790243902439,2251.44,124.61
43,125,Brewing,86.09439999999998,90.4,4.61064,13.74,41.970240000000004,2230.2,133.81
44,136,Brewing,85.7279411764706,90.1,5.391544117647059,13.88,37.95088235294118,1104.48,135.94
45,123,Brewing,85.83495934959349,90.2,4.37821138211382,13.74,34.36390243902439,785.88,118.94
46,155,Brewing,86.58774193548388,90.7,4.758129032258065,14.49,30.695225806451614,1954.08,134.88
47,160,Brewing,86.37125,90.6,5.392437500000001,13.98,22.302,467.28,124.60999999999996
48,146,Brewing,86.31232876712329,90.7,11.282808219178081,14.05,18.330410958904107,424.8,98.06
49,150,Brewing,86.584,90.4,4.125200000000001,13.54,52.53359999999999,4885.2,175.93999999999994
50,117,Brewing,86.08205128205128,94.9,6.115042735042734,13.62,38.30461538461539,977.04,133.81
52,141,Brewing,87.03900709219859,90.3,4.071347517730496,14.8,32.08595744680851,1062.0,134.51999999999998
53,116,Brewing,86.38017241379309,94.0,6.536465517241379,14.88,27.831724137931033,1062.0,95.57999999999998
55,114,Brewing,86.52368421052633,96.7,5.35921052631579,14.41,30.555789473684207,828.36,120.71000000000001
56,296,Brewing,104.0733108108108,118.4,3.6780743243243244,6.14,38.38986486486486,658.44,189.39
57,116,Brewing,84.68793103448276,88.9,4.165603448275863,14.0,36.254482758620696,658.44,110.45
59,157,Brewing,87.4343949044586,90.6,4.262292993630574,14.32,25.704458598726116,1146.96,107.96999999999997
60,230,Brewing,86.12695652173912,90.5,3.2442608695652178,13.88,29.920695652173915,615.96,158.94000000000005
61,141,Brewing,86.33333333333333,90.2,4.43404255319149,13.77,30.88085106382979,1486.8,121.78
62,165,Brewing,87.46545454545455,90.7,4.723030303030303,13.88,28.062545454545454,2124.0,120.0
63,148,Brewing,86.87702702702703,90.4,4.906554054054054,13.83,19.23081081081081,446.04,90.2700000000001
64,107,Brewing,87.09906542056075,95.3,6.2257943925233645,13.65,69.87364485981308,5203.8,232.56999999999994
65,209,Brewing,96.07894736842105,109.6,2.407129186602871,5.24,48.47598086124402,977.04,152.22
66,148,Brewing,86.84594594594596,90.1,6.326891891891891,14.41,19.51783783783784,446.04,86.02
67,158,Brewing,87.33164556962024,90.5,5.079050632911392,14.13,23.794177215189872,658.44,102.66
68,248,Brewing,84.04153225806452,90.4,9.991975806451613,14.73,13.96016129032258,509.76,107.96999999999997
69,150,Brewing,86.21866666666666,90.6,4.240333333333333,14.08,20.248800000000003,700.92,109.03000000000003
